Timestamp_UNIX,Human_Time,VG2 PreMag Pressure,VG3 BLine Pressure,VG2 LdLock Pressure,VG3 Cham 2 Pressure,VG4 Cham 1 Pressure
1775645557.4091835,2026-04-08 11:52:37.409184,3.839999962451657e-08,1.899999979571021e-08,3.270000092925329e-08,1.0099999947499327e-08,6.0200000540078236e-09
1775645559.4473007,2026-04-08 11:52:39.447301,3.839999962451657e-08,1.899999979571021e-08,3.2900000945801366e-08,1.0099999947499327e-08,5.970000049870805e-09
1775645561.487466,2026-04-08 11:52:41.487466,3.830000139259937e-08,1.899999979571021e-08,3.2599999144622416e-08,1.0099999947499327e-08,5.9900000515256124e-09
1775645563.5335114,2026-04-08 11:52:43.533511,3.839999962451657e-08,1.899999979571021e-08,3.270000092925329e-08,9.99999993922529e-09,5.9900000515256124e-09
1775645565.5695987,2026-04-08 11:52:45.569599,3.830000139259937e-08,1.899999979571021e-08,3.2900000945801366e-08,1.0099999947499327e-08,6.0200000540078236e-09
1775645567.6435425,2026-04-08 11:52:47.643543,3.830000139259937e-08,1.899999979571021e-08,3.270000092925329e-08,1.0099999947499327e-08,6.0200000540078236e-09
1775645569.6752796,2026-04-08 11:52:49.675280,3.830000139259937e-08,1.899999979571021e-08,3.2599999144622416e-08,1.0099999947499327e-08,5.960000049043401e-09
1775645571.7229483,2026-04-08 11:52:51.722948,3.830000139259937e-08,1.899999979571021e-08,3.2300000896157144e-08,9.989999938397887e-09,5.980000050698209e-09
1775645573.8016036,2026-04-08 11:52:53.801604,3.839999962451657e-08,1.9099999803984247e-08,3.310000096234944e-08,9.99999993922529e-09,5.950000048215998e-09
1775645575.8622646,2026-04-08 11:52:55.862265,3.839999962451657e-08,1.899999979571021e-08,3.239999912807434e-08,9.99999993922529e-09,6.01000005318042e-09
1775645577.9429443,2026-04-08 11:52:57.942944,3.830000139259937e-08,1.899999979571021e-08,3.2300000896157144e-08,1.0099999947499327e-08,6.01000005318042e-09
1775645579.9796858,2026-04-08 11:52:59.979686,3.839999962451657e-08,1.899999979571021e-08,3.2599999144622416e-08,9.99999993922529e-09,6.030000054835227e-09
1775645582.0184855,2026-04-08 11:53:02.018486,3.830000139259937e-08,1.899999979571021e-08,3.2999999177718564e-08,9.99999993922529e-09,5.950000048215998e-09
1775645584.0857415,2026-04-08 11:53:04.085742,3.830000139259937e-08,1.899999979571021e-08,3.2999999177718564e-08,1.0099999947499327e-08,5.970000049870805e-09
1775645586.129399,2026-04-08 11:53:06.129399,3.839999962451657e-08,1.9099999803984247e-08,3.270000092925329e-08,9.99999993922529e-09,5.9900000515256124e-09
1775645588.1786184,2026-04-08 11:53:08.178618,3.839999962451657e-08,1.9099999803984247e-08,3.239999912807434e-08,1.0099999947499327e-08,5.960000049043401e-09
1775645590.2166286,2026-04-08 11:53:10.216629,3.830000139259937e-08,1.899999979571021e-08,3.270000092925329e-08,1.0099999947499327e-08,5.870000041596768e-09
1775645592.2868817,2026-04-08 11:53:12.286882,3.839999962451657e-08,1.899999979571021e-08,3.270000092925329e-08,9.99999993922529e-09,6.030000054835227e-09
1775645594.3496473,2026-04-08 11:53:14.349647,3.830000139259937e-08,1.9099999803984247e-08,3.2900000945801366e-08,9.99999993922529e-09,5.9900000515256124e-09
1775645596.3941872,2026-04-08 11:53:16.394187,3.8500001409147444e-08,1.899999979571021e-08,3.270000092925329e-08,9.99999993922529e-09,5.9900000515256124e-09
1775645598.4597936,2026-04-08 11:53:18.459794,3.839999962451657e-08,1.899999979571021e-08,3.279999916117049e-08,9.99999993922529e-09,5.980000050698209e-09
1775645600.509982,2026-04-08 11:53:20.509982,3.830000139259937e-08,1.9099999803984247e-08,3.239999912807434e-08,9.99999993922529e-09,6.030000054835227e-09
1775645602.5811768,2026-04-08 11:53:22.581177,3.839999962451657e-08,1.9099999803984247e-08,3.3300000978897515e-08,1.0099999947499327e-08,6.0200000540078236e-09
1775645604.6284642,2026-04-08 11:53:24.628464,3.839999962451657e-08,1.9099999803984247e-08,3.2999999177718564e-08,1.0099999947499327e-08,6.000000052353016e-09
1775645606.6927059,2026-04-08 11:53:26.692706,3.8500001409147444e-08,1.9099999803984247e-08,3.250000091270522e-08,1.0099999947499327e-08,5.970000049870805e-09
1775645608.7233915,2026-04-08 11:53:28.723392,3.839999962451657e-08,1.9099999803984247e-08,3.2900000945801366e-08,1.0099999947499327e-08,5.9900000515256124e-09
1775645610.7880008,2026-04-08 11:53:30.788001,3.839999962451657e-08,1.9099999803984247e-08,3.270000092925329e-08,9.99999993922529e-09,5.980000050698209e-09
1775645612.832909,2026-04-08 11:53:32.832909,3.839999962451657e-08,1.9099999803984247e-08,3.2900000945801366e-08,9.99999993922529e-09,6.0200000540078236e-09
1775645614.8943365,2026-04-08 11:53:34.894336,3.839999962451657e-08,1.9099999803984247e-08,3.319999919426664e-08,1.0099999947499327e-08,6.0200000540078236e-09
1775645616.9555402,2026-04-08 11:53:36.955540,3.839999962451657e-08,1.9099999803984247e-08,3.270000092925329e-08,1.0099999947499327e-08,6.030000054835227e-09
1775645619.0051923,2026-04-08 11:53:39.005192,3.839999962451657e-08,1.9099999803984247e-08,3.279999916117049e-08,9.99999993922529e-09,6.000000052353016e-09
1775645621.020677,2026-04-08 11:53:41.020677,3.839999962451657e-08,1.9099999803984247e-08,3.310000096234944e-08,9.99999993922529e-09,6.030000054835227e-09
1775645623.064808,2026-04-08 11:53:43.064808,3.839999962451657e-08,1.9099999803984247e-08,3.279999916117049e-08,1.0099999947499327e-08,6.000000052353016e-09
1775645625.1276832,2026-04-08 11:53:45.127683,3.839999962451657e-08,1.9099999803984247e-08,3.2900000945801366e-08,1.0099999947499327e-08,5.980000050698209e-09
1775645627.190187,2026-04-08 11:53:47.190187,3.8500001409147444e-08,1.9099999803984247e-08,3.2900000945801366e-08,1.0099999947499327e-08,5.970000049870805e-09
1775645629.239415,2026-04-08 11:53:49.239415,3.839999962451657e-08,1.9099999803984247e-08,3.2900000945801366e-08,9.99999993922529e-09,5.970000049870805e-09
